content_stem,score,label
mantap manfaat jaring wifi ngeleg ngeleg hp,3,Netral
iklan oke,5,Positif
keren goodluck hp samsung,5,Positif
suka aplikasi bantu tingkat kerja,5,Positif
butuh aplikasi butuh nya,5,Positif
simpel mudah bantu sip,5,Positif
aplikasi bagus sukses,5,Positif
bagus aplikasi nya cepat aman,5,Positif
enak banget sinyal nya keren abis,4,Positif
koneksi lambat,1,Negatif
hmm yg ter cepat,5,Positif
aplikasi bagus buka aplikasi blokir,5,Positif
ga putar vidio blok nya buka aja,3,Netral
cepat peras a plikasih yg diingginkan,4,Positif
mantap apk nya lumayan bagus,5,Positif
bagussss iklan,5,Positif
bagus cepat cepat nya mantaf,5,Positif
mantap apks vpn cepat cewek,5,Positif
overall oke kendala,5,Positif
coba kasih bintang sapa tau servernya bagus terima kasih,5,Positif
iklan byak bos tolong diperbaikin ya kayak gituh aja deh saran,4,Positif
mudah aplikasi nya,5,Positif
aplikasi x bgus mas bingung,4,Positif
bagus tingkat layan standar,5,Positif
bagus puas aplikasi lancar,5,Positif
cepat mudah akses,5,Positif
koneksi buruk 4 baris sinyal,1,Negatif
aplikasi nya bagus bgt bantu x mksh turbo vpn,5,Positif
lancar joss,5,Positif
alhamdullah lancar aplikasi ngebel whatsapp thank you,5,Positif
semga lancar trus stabil aplikasi,5,Positif
knapa gk muncul iklan nya,4,Positif
pulas layan,5,Positif
apk burul kasih bintang 5 karna kalo bintang 5 suka,5,Positif
aplikasi nya bagus thn 2010 sampe thn 2014 dn instal,5,Positif
bantu buka aplikasi yg blokir,5,Positif
mantap cepat buka,5,Positif
cepat mantap,5,Positif
bantu guna manfaat,5,Positif
moga baik sinyal ya,5,Positif
aplikasi keren layak main guys ok,5,Positif
coba moga hasil bagus bintang kurang,5,Positif
tolong upgrade lg biar download nya cepat,5,Positif
bagus kadang lot,5,Positif
mantap tahan kalo tingkat,5,Positif
aplikasi engga baca komik,5,Positif
bagus login server ga lot bgtt game,3,Netral
super lelet layak sebar orang tau,2,Negatif
lelet,5,Positif
aplikasi bagus tolong tingkat,5,Positif
terimakasih alhamdulillah aplikasi bagus bantu,5,Positif
bagus klu lancar terputus2,5,Positif
lumayan stop,5,Positif
bingung lama lama,5,Positif
aplikasi bagus coba,5,Positif
lot jalan halaman mentok 118kb muter steaming buffering twrus maaf prmain gratis min,2,Negatif
iklan,4,Positif
bagus lancar,5,Positif
bagus iklan,5,Positif
vpn yg bagus bantu buka situs yg blokir,5,Positif
sambung sinyal bagus,1,Negatif
mayan sih lot iklan,3,Netral
oke depan tolong tingkat,5,Positif
bintang penuh pokok super mantap depan baik min,5,Positif
mantap cepet banget sampe 2 gambar nya ilang,5,Positif
bagus bsa tingkat lgi,4,Positif
aplikasi bagus buka aplikasi susah buka,5,Positif
suka memper cepat biar ga lot,5,Positif
puas maksih turbo vpn,5,Positif
sumpah ni aplikasi banyak iklan nyalain muncul iklan matiin iklan mulu iklanya bgt,1,Negatif
akses game rada susah ya kalo bkn premium,5,Positif
jaring gak setabil koreksi gak pengaruh tingkat koneksi internet maaf ya kaya secem cuman buka blokir situs,2,Negatif
bagus gatau depan nya,5,Positif
bagus bantu kasih bintang 5 biar pilih baik,5,Positif
pokok bagus sesuai fungsi sia sia download apk dukung iklan bagusssss lahhh,5,Positif
bantu rusak jaring lambat perangkat mohon tingkat server nya makasih,5,Positif
mantap pokok iklan dikit,5,Positif
mantap cepat sat set,5,Positif
mantap aplikasi bantu cari link yg sembunyi mantap,5,Positif
coba si tpi moga aja aplkny emang bagus yg orang orang bilang coba,5,Positif
mudah cepat,4,Positif
bantu moga kecewa karna iklan,5,Positif
bug baharu aplikasi cocok device cepat penuh 30 detik cepat lambat coba jaring operator cepat 30 detik 2mb s 4mb s rata 150kb s turbo vpn conect diconect 30 detik tolong baik device realme 5pro,1,Negatif
iklan kerja gak optomal,5,Positif
user vpn yg keluh iklan kusaranin gak download nama aplikasi iklan gak iklan ya beli premium gitu aja ribet ya bikin aja aplikasi yg lu developer optimal notifikasi notifikasi ambang udah ku close vpn nya notifikasi muncul udah ku paksa henti muncul notifikasi thanks,5,Positif
serius nanya yg review oke tuh gmn sih pake 2 emg coba yg free trial pake pake aplikasi n vpn lancaaaaar jaya btw pake vpn utk netflix aja knp pas pake turbovpn gak ya coba konek korea jepang eh netflix gak masuk coba konek mexico singapore aussie masuk netflixnya pas klik film salah koneksi negara inti gak kepake netflix sad,2,Negatif
yg alami kendala sebab area sinyal stabil usaha hubung jaring vpn minimal 100kb p s koneksi guna puas alami iklan terkadang 3 4 iklan  not bad moga aja baik,5,Positif
easy to use ui simpel opsi protokol d hilang y pdhal klo cepat internetnya lambat ganti tipe protokol speednya kadang tingkat iklan tolong skip berulang2 karna kadang suka salah klik harga rupa moga k depan koneksi bagus stabil,4,Positif
putus iklan iklan cuan uang hasil iklan bantu kembang apk udah aja lebih turbo vpn jaring lancar server dah aja,5,Positif
jangkau 4g kadang lot video super server cepat iklan yg ganggu video yg putar tolong baik ya dri segi ok terima kasih,4,Positif
